ym,dong,phase,0-19,20-39,40-59,60+
201703,답십리2동,주간,1732.5990783410139,3968.940092165899,5436.064516129032,4941.6036866359445
201703,장안1동,주간,3179.1013824884794,11032.207373271889,12083.73732718894,8819.815668202766
201703,장안2동,주간,4106.322580645161,6487.20737327189,8075.774193548387,6175.36866359447
201703,청량리동,주간,2003.3410138248848,6172.571428571428,6464.552995391705,8476.3732718894
201703,회기동,주간,5281.373271889401,11993.940092165898,5261.359447004608,4381.52534562212
201703,휘경1동,주간,1957.9400921658985,5868.359447004608,4407.230414746544,4785.096774193548
201703,휘경2동,주간,4428.741935483871,6306.516129032258,4664.7188940092165,4276.52534562212
201703,이문1동,주간,4948.041474654377,14537.806451612903,5863.428571428572,5066.225806451613
201703,이문2동,주간,1673.774193548387,2955.714285714286,3341.769585253456,3434.5207373271887
201704,용신동,야간,4082.555555555555,14037.555555555555,11189.1,10390.488888888889
201704,제기동,야간,3454.366666666667,9785.222222222223,7552.677777777778,9187.111111111111
201704,전농1동,야간,4263.599999999999,9834.011111111111,9187.633333333333,8302.41111111111
201704,전농2동,야간,3544.6555555555556,5742.599999999999,5915.333333333333,4876.733333333334
201704,답십리1동,야간,3324.988888888889,7653.233333333334,7047.455555555555,4934.733333333334
201704,답십리2동,야간,3405.933333333333,6536.922222222222,7711.400000000001,6633.155555555556
201704,장안1동,야간,3732.8777777777777,12542.677777777777,10703.322222222223,8471.199999999999
201704,장안2동,야간,3749.933333333333,7260.933333333333,8138.333333333333,6594.466666666667
201704,청량리동,야간,1906.4888888888888,5631.055555555556,5539.9111111111115,6718.988888888889
201704,회기동,야간,2549.9888888888886,9655.08888888889,4206.822222222222,4173.688888888889
201704,휘경1동,야간,1678.8333333333333,5212.188888888889,3619.8222222222225,3534.7000000000003
201704,휘경2동,야간,4161.822222222222,10188.422222222222,6783.2,5950.511111111111
201704,이문1동,야간,4767.388888888889,14507.77777777778,7029.844444444444,6358.544444444445
201704,이문2동,야간,3555.566666666667,5655.7444444444445,5980.5888888888885,5034.566666666667
201704,용신동,주간,4714.904761904762,16396.209523809524,16834.933333333334,15992.219047619048
201704,제기동,주간,3467.495238095238,9899.699999999999,8877.37619047619,11792.509523809524
201704,전농1동,주간,4719.247619047618,9936.404761904761,10032.285714285714,10779.423809523809
201704,전농2동,주간,4654.557142857143,6216.166666666666,4108.5,3737.7000000000003
201704,답십리1동,주간,2310.8904761904764,4918.185714285714,5363.776190476191,4416.352380952381
201704,답십리2동,주간,1869.6142857142856,4139.647619047619,5474.366666666667,4905.471428571429
201704,장안1동,주간,2978.995238095238,10737.704761904763,11429.538095238095,8398.561904761906
201704,장안2동,주간,4225.038095238096,6513.461904761904,7997.304761904762,6097.571428571428
201704,청량리동,주간,2025.395238095238,6379.442857142857,6665.657142857142,8706.671428571428
201704,회기동,주간,4830.276190476191,11756.542857142858,5036.4857142857145,4139.457142857143
201704,휘경1동,주간,1958.9952380952382,5832.780952380953,4376.6,4687.099999999999
