code,y21,y25,dsale,dong,dpop
3130001,31080706672.0,37294715973.0,0.1822643912570806,11110515,-0.049540912628473814
3130002,47921111086.0,69585761144.0,0.3730038253392268,11110530,-0.15665731705783048
3130004,12365253356.0,12268292148.0,-0.007872330739933035,11110615,0.158086229932861
3130005,5937350470.0,6212984402.0,0.0453783754923569,11110615,0.158086229932861
3130007,86791169543.0,104671499842.0,0.18732198989288382,11110615,0.158086229932861
3130009,1193569912.0,2532595223.0,0.7522958144538519,11110630,-0.17447236715664438
3130010,64832587529.0,61748979621.0,-0.04873091990020365,11110630,-0.17447236715664438
3130012,6107687544.0,5211126022.0,-0.15875227136510078,11110630,-0.17447236715664438
3130013,21657839963.0,22204631943.0,0.024933401295650148,11110670,-0.12889709990613532
3130014,13662372112.0,19254832040.0,0.34311655135322217,11110670,-0.12889709990613532
3130015,21179993308.0,21744019355.0,0.02628172332424326,11110680,-0.2585201442546236
3130016,4013091938.0,4001935249.0,-0.002783944694231339,11110670,-0.12889709990613532
3130018,139909797362.0,109901105832.0,-0.24141698687422322,11110670,-0.12889709990613532
3130020,6473558201.0,13214090201.0,0.7135577886232554,11110710,-0.15343702481387764
3130022,15870711596.0,16641592923.0,0.0474297867565513,11140540,0.006845703301819182
3130024,407855832127.0,525405273950.0,0.25325615584162,11140540,0.006845703301819182
3130025,33207004871.0,43825495617.0,0.27745489598753775,11140540,0.006845703301819182
3130031,38004732641.0,15255317084.0,-0.912782591624623,11140605,-0.06789524786286577
3130032,21369084170.0,31232701591.0,0.37952046128955347,11140590,0.046741748144527716
3130033,126982694720.0,72799000958.0,-0.556348583122749,11140605,-0.06789524786286577
3130035,186614700588.0,166591200464.0,-0.11350315660186733,11140605,-0.06789524786286577
3130036,185214471861.0,281593117704.0,0.41894872305641156,11140590,0.046741748144527716
3130042,42495536238.0,46296442371.0,0.08566607878039119,11140635,-0.14768746490968532
3130046,350738139.0,59128312308.0,5.127425244045222,11140615,-0.15739297086508142
3130047,16759122795.0,11786270710.0,-0.35200739955525806,11140615,-0.15739297086508142
3130048,41131222584.0,45639704834.0,0.10401055103449203,11140615,-0.15739297086508142
3130049,6865595984.0,9042328175.0,0.27539383241855353,11140615,-0.15739297086508142
