ym,dong,hour,pop
201709,장안2동,20,33040.8
201709,청량리동,20,24365.466666666667
201709,회기동,20,19053.733333333334
201709,휘경1동,20,20582.266666666666
201709,휘경2동,20,18754.6
201709,이문1동,20,32299.433333333334
201709,이문2동,20,14173.8
201709,용신동,21,41668.833333333336
201709,제기동,21,33299.0
201709,전농1동,21,37992.066666666666
201709,전농2동,21,16626.4
201709,답십리1동,21,21261.766666666666
201709,답십리2동,21,21363.2
201709,장안1동,21,34768.5
201709,장안2동,21,33030.53333333333
201709,청량리동,21,24003.9
201709,회기동,21,18991.9
201709,휘경1동,21,20551.233333333334
201709,휘경2동,21,19599.266666666666
201709,이문1동,21,32277.166666666668
201709,이문2동,21,14973.9
201709,용신동,22,41122.76666666667
201709,제기동,22,33297.2
201709,전농1동,22,37661.6
201709,전농2동,22,16975.333333333332
201709,답십리1동,22,22467.733333333334
201709,답십리2동,22,21923.666666666668
201709,장안1동,22,35131.03333333333
201709,장안2동,22,32629.166666666668
201709,청량리동,22,23746.133333333335
201709,회기동,22,18924.933333333334
201709,휘경1동,22,19986.3
201709,휘경2동,22,20840.933333333334
201709,이문1동,22,32327.433333333334
201709,이문2동,22,16015.866666666667
201709,용신동,23,36737.36666666667
201709,제기동,23,33358.933333333334
201709,전농1동,23,34440.933333333334
201709,전농2동,23,17660.133333333335
201709,답십리1동,23,23831.2
201709,답십리2동,23,25375.033333333333
201709,장안1동,23,35977.0
201709,장안2동,23,30636.9
201709,청량리동,23,21695.6
201709,회기동,23,21390.6
201709,휘경1동,23,16443.766666666666
201709,휘경2동,23,23577.633333333335
201709,이문1동,23,32105.233333333334
201709,이문2동,23,19854.133333333335
201710,용신동,0,37149.290322580644
201710,제기동,0,31631.451612903227
201710,전농1동,0,33268.51612903226
201710,전농2동,0,17403.612903225807
201710,답십리1동,0,23396.1935483871
201710,답십리2동,0,25206.677419354837
201710,장안1동,0,35333.25806451613
201710,장안2동,0,30128.83870967742
201710,청량리동,0,20930.74193548387
201710,회기동,0,21002.451612903227
201710,휘경1동,0,16738.709677419356
201710,휘경2동,0,23535.25806451613
201710,이문1동,0,32836.967741935485
201710,이문2동,0,19313.516129032258
201710,용신동,1,37486.87096774193
201710,제기동,1,31931.90322580645
201710,전농1동,1,33134.6129032258
201710,전농2동,1,17492.16129032258
201710,답십리1동,1,23445.83870967742
201710,답십리2동,1,25373.645161290322
201710,장안1동,1,34970.45161290323
201710,장안2동,1,30112.935483870966
201710,청량리동,1,20869.935483870966
201710,회기동,1,20807.645161290322
201710,휘경1동,1,16688.25806451613
201710,휘경2동,1,23789.58064516129
201710,이문1동,1,32919.6129032258
201710,이문2동,1,19369.290322580644
201710,용신동,2,37640.709677419356
201710,제기동,2,32030.129032258064
201710,전농1동,2,33018.06451612903
201710,전농2동,2,17620.58064516129
201710,답십리1동,2,23448.677419354837
201710,답십리2동,2,25459.90322580645
201710,장안1동,2,34744.3870967742
201710,장안2동,2,30131.967741935485
201710,청량리동,2,20667.935483870966
201710,회기동,2,20685.0
201710,휘경1동,2,16885.064516129034
201710,휘경2동,2,23840.74193548387
201710,이문1동,2,33049.51612903226
201710,이문2동,2,19261.032258064515
201710,용신동,3,37962.645161290326
201710,제기동,3,32240.290322580644
201710,전농1동,3,33041.58064516129
201710,전농2동,3,17637.645161290322
201710,답십리1동,3,23281.1935483871
201710,답십리2동,3,25610.09677419355
201710,장안1동,3,34571.6129032258
201710,장안2동,3,30145.09677419355
201710,청량리동,3,20705.322580645163
201710,회기동,3,20547.870967741936
201710,휘경1동,3,16960.645161290322
201710,휘경2동,3,23965.387096774193
201710,이문1동,3,33204.709677419356
201710,이문2동,3,19230.645161290322
201710,용신동,4,38793.709677419356
201710,제기동,4,32556.387096774193
201710,전농1동,4,33094.967741935485
201710,전농2동,4,17633.16129032258
201710,답십리1동,4,23075.0
201710,답십리2동,4,25815.483870967742
201710,장안1동,4,34585.354838709674
201710,장안2동,4,30045.225806451614
201710,청량리동,4,20749.451612903227
201710,회기동,4,20489.129032258064
201710,휘경1동,4,17231.612903225807
201710,휘경2동,4,23812.322580645163
201710,이문1동,4,33175.74193548387
201710,이문2동,4,19068.09677419355
201710,용신동,5,39208.709677419356
201710,제기동,5,32645.8064516129
201710,전농1동,5,33609.45161290323
201710,전농2동,5,17527.83870967742
201710,답십리1동,5,23114.129032258064
201710,답십리2동,5,25424.16129032258
201710,장안1동,5,34398.58064516129
201710,장안2동,5,29780.16129032258
201710,청량리동,5,20911.709677419356
201710,회기동,5,20479.1935483871
201710,휘경1동,5,17544.387096774193
201710,휘경2동,5,23659.709677419356
201710,이문1동,5,33120.77419354839
201710,이문2동,5,18840.483870967742
201710,용신동,6,39736.45161290323
201710,제기동,6,32924.54838709677
201710,전농1동,6,34093.096774193546
201710,전농2동,6,17331.90322580645
201710,답십리1동,6,23068.225806451614
201710,답십리2동,6,24779.967741935485
201710,장안1동,6,34203.77419354839
201710,장안2동,6,29354.612903225807
201710,청량리동,6,20995.516129032258
201710,회기동,6,20366.387096774193
201710,휘경1동,6,17908.774193548386
201710,휘경2동,6,23346.129032258064
201710,이문1동,6,32838.903225806454
201710,이문2동,6,18445.0
201710,용신동,7,41403.83870967742
201710,제기동,7,33067.6129032258
201710,전농1동,7,35778.51612903226
201710,전농2동,7,16971.612903225807
201710,답십리1동,7,22257.967741935485
201710,답십리2동,7,23383.645161290322
201710,장안1동,7,34160.45161290323
201710,장안2동,7,28835.032258064515
201710,청량리동,7,21914.16129032258
201710,회기동,7,21223.935483870966
201710,휘경1동,7,19273.25806451613
201710,휘경2동,7,22703.967741935485
201710,이문1동,7,32300.870967741936
201710,이문2동,7,17290.354838709678
201710,용신동,8,44962.354838709674
201710,제기동,8,33477.032258064515
201710,전농1동,8,35672.32258064516
201710,전농2동,8,16937.064516129034
201710,답십리1동,8,20756.064516129034
201710,답십리2동,8,21726.774193548386
201710,장안1동,8,34629.74193548387
201710,장안2동,8,28539.612903225807
201710,청량리동,8,22126.225806451614
201710,회기동,8,22483.516129032258
201710,휘경1동,8,18609.709677419356
201710,휘경2동,8,22161.774193548386
201710,이문1동,8,31662.83870967742
201710,이문2동,8,15272.90322580645
201710,용신동,9,47009.645161290326
201710,제기동,9,33828.290322580644
201710,전농1동,9,35829.1935483871
201710,전농2동,9,17013.1935483871
201710,답십리1동,9,19961.387096774193
201710,답십리2동,9,20846.032258064515
201710,장안1동,9,34149.354838709674
201710,장안2동,9,28286.387096774193
201710,청량리동,9,22644.774193548386
201710,회기동,9,22838.290322580644
201710,휘경1동,9,18485.58064516129
201710,휘경2동,9,20966.0
201710,이문1동,9,31314.451612903227
201710,이문2동,9,14005.193548387097
201710,용신동,10,48765.32258064516
201710,제기동,10,34564.3870967742
201710,전농1동,10,36495.51612903226
201710,전농2동,10,17036.451612903227
201710,답십리1동,10,19483.83870967742
201710,답십리2동,10,19959.290322580644
201710,장안1동,10,33914.77419354839
